Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
67,1,2,1,4,0,1169,6,5,1
22,0,2,1,0,1,5951,48,5,0
49,1,1,1,0,3,2096,12,3,1
45,1,2,0,0,0,7882,42,4,1
53,1,2,0,0,0,4870,24,1,0
35,1,1,0,4,3,9055,36,3,1
53,1,2,1,2,3,2835,24,4,1
35,1,3,2,0,1,6948,36,1,1
61,1,1,1,3,3,3059,12,5,1
28,1,3,1,0,1,5234,30,1,0
25,0,2,2,0,1,1295,12,1,0
24,0,2,2,0,0,4308,48,0,0
22,0,2,1,0,1,1567,12,5,1
60,1,1,1,0,0,1199,24,1,0
28,0,2,2,0,0,1403,15,1,1
32,0,1,1,1,0,1282,24,5,0
53,1,2,1,4,3,2424,24,5,1
25,1,2,1,4,0,8072,30,0,1
44,0,3,0,0,1,12579,24,1,0
31,1,2,1,2,3,3430,24,5,1
48,1,2,1,0,3,2134,9,1,1
44,1,2,2,2,0,2647,6,5,1
48,1,1,2,0,0,2241,10,1,1
44,1,2,1,1,1,1804,12,1,1
26,1,2,1,4,3,2069,10,4,1
36,1,1,1,0,0,1374,6,4,1
39,1,1,1,0,3,426,6,5,1
42,0,2,2,3,2,409,12,5,1
34,1,2,1,0,1,2415,7,5,1
63,1,2,1,0,0,6836,60,0,0
36,1,2,1,3,1,1913,18,0,1
27,1,2,1,0,0,4020,24,4,1
30,1,2,1,1,1,5866,18,1,1
57,1,1,2,4,3,1264,12,0,1
33,0,3,1,0,2,1474,12,4,1
25,1,1,1,0,1,4746,45,5,0
31,1,2,0,0,3,6110,48,3,1
37,1,2,1,0,2,2100,18,5,0
37,1,2,1,0,2,1225,10,2,1
24,1,2,1,0,1,458,9,5,1
30,1,3,1,2,3,2333,30,5,1
26,1,2,1,2,1,1158,12,5,1
44,1,1,1,0,1,6204,18,6,1
24,1,2,2,1,0,6187,30,1,1
58,0,1,0,0,0,6143,48,1,0
35,0,3,1,0,3,1393,11,1,1
39,1,2,1,2,3,2299,36,5,1
23,0,0,2,2,0,1352,6,1,1
39,1,1,1,0,3,7228,11,1,1
28,0,2,1,1,3,2073,12,5,1
29,1,1,1,4,1,2333,24,4,1
30,1,3,1,0,1,5965,27,1,1
25,1,2,1,0,3,1262,12,5,1
31,1,2,1,4,3,3378,18,1,1
57,1,2,0,0,1,2225,36,1,0
26,1,1,1,4,3,783,6,1,1
52,1,3,1,4,1,6468,12,5,0
31,0,2,1,0,3,9566,36,5,1
23,0,3,1,0,2,1961,18,1,1
23,0,1,2,0,0,6229,36,4,0
27,1,2,1,0,1,1391,9,0,1
50,1,2,1,4,1,1537,15,5,1
61,1,3,0,0,1,1953,36,0,0
25,1,2,1,0,1,14421,48,0,0
26,0,2,1,0,3,3181,24,5,1
48,1,2,1,4,3,5190,27,6,1
29,0,2,1,0,3,2171,12,5,1
22,1,2,1,3,1,1007,12,1,1
37,1,2,0,0,3,1819,36,3,0
25,0,2,1,4,3,2394,36,5,1
30,0,2,1,0,3,8133,36,1,1
46,1,1,2,4,3,730,7,5,1
51,1,3,0,0,0,1164,8,7,1
41,0,1,1,0,1,5954,42,0,1
40,1,3,1,4,0,1977,36,3,0
66,1,3,0,0,0,1526,12,1,1
34,1,2,1,0,0,3965,42,5,0
51,1,2,1,0,1,4771,11,5,1
39,1,1,1,4,3,9436,54,1,1
22,1,2,1,0,1,3832,30,4,1
44,0,2,1,4,3,5943,24,5,0
47,1,2,1,2,3,1213,15,5,1
24,0,1,2,1,3,1568,18,0,1
58,0,1,1,0,0,1755,24,7,1
52,1,1,1,0,0,2315,10,5,1
29,0,3,1,0,3,1412,12,0,1
27,0,2,1,0,1,1295,18,4,1
47,1,2,0,1,1,12612,36,3,0
30,1,3,1,1,0,2249,18,1,1
28,1,2,1,0,0,1108,12,6,0
56,1,2,1,0,3,618,12,5,1
54,1,2,1,0,0,1409,12,1,1
33,0,1,1,4,3,797,12,5,0
20,1,2,2,4,2,3617,24,4,1
54,1,2,1,3,1,1318,12,1,1
58,1,2,2,0,1,15945,54,0,0
61,0,2,1,4,3,2012,12,3,1
34,1,2,1,1,1,2622,18,0,1
36,1,2,1,0,1,2337,36,5,1
36,1,3,2,4,1,7057,20,1,1
41,1,1,2,1,3,1469,24,1,1
24,1,2,2,0,1,2323,36,5,1
24,0,2,1,0,3,932,6,5,1
35,1,2,2,0,1,1919,9,4,1
26,1,2,2,4,3,2445,12,1,1
39,1,3,1,0,1,11938,24,7,0
39,1,3,1,0,3,6458,18,1,0
32,1,2,1,0,1,6078,12,1,1
30,0,2,1,4,0,7721,24,4,1
35,1,2,1,2,1,1410,14,0,1
31,1,2,1,1,1,1449,6,0,1
23,0,2,2,0,2,392,15,3,1
28,1,1,2,0,1,6260,18,1,1
25,0,2,1,0,3,7855,36,1,0
35,1,2,1,2,0,1680,12,5,1
47,1,2,1,4,3,3578,48,5,1
30,0,3,1,4,0,7174,42,5,0
27,0,2,2,4,0,2132,10,4,1
23,0,2,1,2,0,4281,33,4,0
36,1,3,1,2,1,2366,12,1,1
25,0,2,1,0,0,1835,21,5,0
41,0,3,2,0,3,3868,24,1,1
24,1,1,2,0,3,1768,12,4,1
63,1,2,0,0,2,781,10,1,1
27,0,2,2,4,1,1924,18,4,0
30,1,2,1,0,0,2121,12,1,1
40,1,1,1,0,0,701,12,5,1
30,1,2,1,0,1,639,12,6,0
34,1,3,1,0,1,1860,12,1,1
29,0,2,1,0,0,3499,12,1,0
24,0,2,1,4,1,8487,48,1,1
29,1,2,1,0,0,6887,36,3,0
27,1,1,1,0,3,2708,15,4,1
47,1,2,0,0,3,1984,18,4,1
21,0,2,1,1,3,10144,60,5,1
38,0,2,1,4,3,1240,12,5,1
27,1,2,1,3,3,8613,27,1,1
66,1,1,1,2,1,766,12,5,0
35,1,2,1,4,1,2728,15,5,1
44,0,1,2,0,2,1881,12,5,1
27,1,0,1,3,2,709,6,1,1
30,0,3,1,0,1,4795,36,5,1
27,1,3,1,0,0,3416,27,5,1
22,1,2,1,0,0,2462,18,4,0
23,0,2,1,0,3,2288,21,4,1
30,1,2,1,1,1,3566,48,0,1
39,0,2,1,0,0,860,6,1,1
51,0,2,1,1,3,682,12,1,1
28,1,2,1,0,0,5371,36,4,1
46,1,2,1,3,3,1582,18,5,1
42,1,2,0,1,3,1346,6,5,1
38,1,2,1,0,3,1924,10,5,1
24,1,2,1,0,2,5848,36,5,1
29,0,2,2,3,1,7758,24,1,1
36,1,3,2,1,1,6967,24,0,1
20,0,2,2,0,0,1282,12,4,0
48,1,2,1,1,0,1288,9,6,1
45,1,1,1,0,0,339,12,3,1
38,1,2,1,1,1,3512,24,1,1
34,1,1,1,4,3,1898,6,5,1
36,1,2,1,1,3,2872,24,5,1
30,0,2,1,0,3,1055,18,1,1
36,1,2,1,2,3,1262,15,2,1
70,1,3,0,0,1,7308,10,1,1
36,1,2,1,2,3,909,36,1,1
32,1,2,1,2,3,2978,6,4,1
33,0,2,1,0,0,1131,18,4,0
20,0,2,1,3,1,1577,11,4,1
25,0,2,2,0,3,3972,24,4,1
31,1,2,1,0,1,1935,24,0,0
